Center	Category	Censo	Votos
DERECHO	Permanente	149	93
DERECHO	No_Permanente	65	19
DERECHO	PDIF	0	0
DERECHO	Estudiantes	3624	176
DERECHO	PTGAS	0	0
ECONOMICAS	Permanente	175	117
ECONOMICAS	No_Permanente	122	38
ECONOMICAS	PDIF	0	0
ECONOMICAS	Estudiantes	3330	158
ECONOMICAS	PTGAS	0	0
EPS	Permanente	77	43
EPS	No_Permanente	61	13
EPS	PDIF	0	0
EPS	Estudiantes	1515	54
EPS	PTGAS	0	0
FILOSOFIA	Permanente	277	197
FILOSOFIA	No_Permanente	161	78
FILOSOFIA	PDIF	0	0
FILOSOFIA	Estudiantes	4697	199
FILOSOFIA	PTGAS	0	0
MEDICINA	Permanente	151	90
MEDICINA	No_Permanente	474	66
MEDICINA	PDIF	0	0
MEDICINA	Estudiantes	2852	148
MEDICINA	PTGAS	0	0
PROFESORADO	Permanente	89	59
PROFESORADO	No_Permanente	141	30
PROFESORADO	PDIF	0	0
PROFESORADO	Estudiantes	3131	32
PROFESORADO	PTGAS	0	0
PSICOLOGIA	Permanente	107	89
PSICOLOGIA	No_Permanente	85	31
PSICOLOGIA	PDIF	0	0
PSICOLOGIA	Estudiantes	1807	46
PSICOLOGIA	PTGAS	0	0
RECTORADO_PDIF	Permanente	0	0
RECTORADO_PDIF	No_Permanente	0	0
RECTORADO_PDIF	PDIF	496	108
RECTORADO_PDIF	Estudiantes	0	0
RECTORADO_PDIF	PTGAS	0	0
RECTORADO_PAS	Permanente	0	0
RECTORADO_PAS	No_Permanente	0	0
RECTORADO_PAS	PDIF	0	0
RECTORADO_PAS	Estudiantes	0	0
RECTORADO_PAS	PTGAS	1104	598
CIENCIAS	Permanente	497	300
CIENCIAS	No_Permanente	519	142
CIENCIAS	PDIF	0	0
CIENCIAS	Estudiantes	5780	380
CIENCIAS	PTGAS	0	0
