Center	Candidate	Category	Votos
DERECHO	JUAN DAMIAN MORENO	Permanente	55
DERECHO	JUAN DAMIAN MORENO	No_Permanente	9
DERECHO	JUAN DAMIAN MORENO	PDIF	0
DERECHO	JUAN DAMIAN MORENO	Estudiantes	80
DERECHO	JUAN DAMIAN MORENO	PTGAS	0
DERECHO	AMAYA MENDIKOETXEA PELAYO	Permanente	20
DERECHO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	5
DERECHO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
DERECHO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	71
DERECHO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
DERECHO	MARGARITA ALFARO AMIEIRO	Permanente	16
DERECHO	MARGARITA ALFARO AMIEIRO	No_Permanente	1
DERECHO	MARGARITA ALFARO AMIEIRO	PDIF	0
DERECHO	MARGARITA ALFARO AMIEIRO	Estudiantes	20
DERECHO	MARGARITA ALFARO AMIEIRO	PTGAS	0
DERECHO	RUBEN PEREZ PEREZ	Permanente	23
DERECHO	RUBEN PEREZ PEREZ	No_Permanente	2
DERECHO	RUBEN PEREZ PEREZ	PDIF	0
DERECHO	RUBEN PEREZ PEREZ	Estudiantes	34
DERECHO	RUBEN PEREZ PEREZ	PTGAS	0
ECONOMICAS	JUAN DAMIAN MORENO	Permanente	43
ECONOMICAS	JUAN DAMIAN MORENO	No_Permanente	4
ECONOMICAS	JUAN DAMIAN MORENO	PDIF	0
ECONOMICAS	JUAN DAMIAN MORENO	Estudiantes	12
ECONOMICAS	JUAN DAMIAN MORENO	PTGAS	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Permanente	51
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	16
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	37
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
ECONOMICAS	MARGARITA ALFARO AMIEIRO	Permanente	16
ECONOMICAS	MARGARITA ALFARO AMIEIRO	No_Permanente	7
ECONOMICAS	MARGARITA ALFARO AMIEIRO	PDIF	0
ECONOMICAS	MARGARITA ALFARO AMIEIRO	Estudiantes	11
ECONOMICAS	MARGARITA ALFARO AMIEIRO	PTGAS	0
ECONOMICAS	RUBEN PEREZ PEREZ	Permanente	10
ECONOMICAS	RUBEN PEREZ PEREZ	No_Permanente	3
ECONOMICAS	RUBEN PEREZ PEREZ	PDIF	0
ECONOMICAS	RUBEN PEREZ PEREZ	Estudiantes	10
ECONOMICAS	RUBEN PEREZ PEREZ	PTGAS	0
EPS	JUAN DAMIAN MORENO	Permanente	14
EPS	JUAN DAMIAN MORENO	No_Permanente	1
EPS	JUAN DAMIAN MORENO	PDIF	0
EPS	JUAN DAMIAN MORENO	Estudiantes	3
EPS	JUAN DAMIAN MORENO	PTGAS	0
EPS	AMAYA MENDIKOETXEA PELAYO	Permanente	10
EPS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	6
EPS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
EPS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	24
EPS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
EPS	MARGARITA ALFARO AMIEIRO	Permanente	7
EPS	MARGARITA ALFARO AMIEIRO	No_Permanente	8
EPS	MARGARITA ALFARO AMIEIRO	PDIF	0
EPS	MARGARITA ALFARO AMIEIRO	Estudiantes	12
EPS	MARGARITA ALFARO AMIEIRO	PTGAS	0
EPS	RUBEN PEREZ PEREZ	Permanente	18
EPS	RUBEN PEREZ PEREZ	No_Permanente	0
EPS	RUBEN PEREZ PEREZ	PDIF	0
EPS	RUBEN PEREZ PEREZ	Estudiantes	6
EPS	RUBEN PEREZ PEREZ	PTGAS	0
FILOSOFIA	JUAN DAMIAN MORENO	Permanente	39
FILOSOFIA	JUAN DAMIAN MORENO	No_Permanente	8
FILOSOFIA	JUAN DAMIAN MORENO	PDIF	0
FILOSOFIA	JUAN DAMIAN MORENO	Estudiantes	16
FILOSOFIA	JUAN DAMIAN MORENO	PTGAS	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Permanente	66
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	27
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	97
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
FILOSOFIA	MARGARITA ALFARO AMIEIRO	Permanente	49
FILOSOFIA	MARGARITA ALFARO AMIEIRO	No_Permanente	22
FILOSOFIA	MARGARITA ALFARO AMIEIRO	PDIF	0
FILOSOFIA	MARGARITA ALFARO AMIEIRO	Estudiantes	48
FILOSOFIA	MARGARITA ALFARO AMIEIRO	PTGAS	0
FILOSOFIA	RUBEN PEREZ PEREZ	Permanente	35
FILOSOFIA	RUBEN PEREZ PEREZ	No_Permanente	8
FILOSOFIA	RUBEN PEREZ PEREZ	PDIF	0
FILOSOFIA	RUBEN PEREZ PEREZ	Estudiantes	30
FILOSOFIA	RUBEN PEREZ PEREZ	PTGAS	0
MEDICINA	JUAN DAMIAN MORENO	Permanente	34
MEDICINA	JUAN DAMIAN MORENO	No_Permanente	23
MEDICINA	JUAN DAMIAN MORENO	PDIF	0
