Center	Candidate	Category	Votos
DERECHO	AMAYA MENDIKOETXEA PELAYO	Permanente	50
DERECHO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	12
DERECHO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
DERECHO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	96
DERECHO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
DERECHO	RUBEN PEREZ PEREZ	Permanente	40
DERECHO	RUBEN PEREZ PEREZ	No_Permanente	7
DERECHO	RUBEN PEREZ PEREZ	PDIF	0
DERECHO	RUBEN PEREZ PEREZ	Estudiantes	73
DERECHO	RUBEN PEREZ PEREZ	PTGAS	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Permanente	78
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	31
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	129
ECONOMICAS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
ECONOMICAS	RUBEN PEREZ PEREZ	Permanente	32
ECONOMICAS	RUBEN PEREZ PEREZ	No_Permanente	4
ECONOMICAS	RUBEN PEREZ PEREZ	PDIF	0
ECONOMICAS	RUBEN PEREZ PEREZ	Estudiantes	24
ECONOMICAS	RUBEN PEREZ PEREZ	PTGAS	0
EPS	AMAYA MENDIKOETXEA PELAYO	Permanente	29
EPS	AMAYA MENDIKOETXEA PELAYO	No_Permanente	9
EPS	AMAYA MENDIKOETXEA PELAYO	PDIF	0
EPS	AMAYA MENDIKOETXEA PELAYO	Estudiantes	42
EPS	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
EPS	RUBEN PEREZ PEREZ	Permanente	14
EPS	RUBEN PEREZ PEREZ	No_Permanente	4
EPS	RUBEN PEREZ PEREZ	PDIF	0
EPS	RUBEN PEREZ PEREZ	Estudiantes	8
EPS	RUBEN PEREZ PEREZ	PTGAS	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Permanente	115
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	44
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	133
FILOSOFIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
FILOSOFIA	RUBEN PEREZ PEREZ	Permanente	71
FILOSOFIA	RUBEN PEREZ PEREZ	No_Permanente	30
FILOSOFIA	RUBEN PEREZ PEREZ	PDIF	0
FILOSOFIA	RUBEN PEREZ PEREZ	Estudiantes	61
FILOSOFIA	RUBEN PEREZ PEREZ	PTGAS	0
MEDICINA	AMAYA MENDIKOETXEA PELAYO	Permanente	23
MEDICINA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	15
MEDICINA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
MEDICINA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	76
MEDICINA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
MEDICINA	RUBEN PEREZ PEREZ	Permanente	63
MEDICINA	RUBEN PEREZ PEREZ	No_Permanente	47
MEDICINA	RUBEN PEREZ PEREZ	PDIF	0
MEDICINA	RUBEN PEREZ PEREZ	Estudiantes	70
MEDICINA	RUBEN PEREZ PEREZ	PTGAS	0
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	Permanente	35
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	No_Permanente	19
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	PDIF	0
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	Estudiantes	6
PROFESORADO	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
PROFESORADO	RUBEN PEREZ PEREZ	Permanente	19
PROFESORADO	RUBEN PEREZ PEREZ	No_Permanente	10
PROFESORADO	RUBEN PEREZ PEREZ	PDIF	0
PROFESORADO	RUBEN PEREZ PEREZ	Estudiantes	24
PROFESORADO	RUBEN PEREZ PEREZ	PTGAS	0
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	Permanente	48
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	No_Permanente	27
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	PDIF	0
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	Estudiantes	35
PSICOLOGIA	AMAYA MENDIKOETXEA PELAYO	PTGAS	0
PSICOLOGIA	RUBEN PEREZ PEREZ	Permanente	36
PSICOLOGIA	RUBEN PEREZ PEREZ	No_Permanente	4
PSICOLOGIA	RUBEN PEREZ PEREZ	PDIF	0
