Center	Candidate	Category	Votos
RECTORADO_PAS	JUAN DAMIAN MORENO	No_Permanente	0
RECTORADO_PAS	JUAN DAMIAN MORENO	PDIF	0
RECTORADO_PAS	JUAN DAMIAN MORENO	Estudiantes	0
RECTORADO_PAS	JUAN DAMIAN MORENO	PTGAS	418
CIENCIAS	RAFAEL GARESSE ALARCON	Permanente	219
CIENCIAS	RAFAEL GARESSE ALARCON	No_Permanente	73
CIENCIAS	RAFAEL GARESSE ALARCON	PDIF	0
CIENCIAS	RAFAEL GARESSE ALARCON	Estudiantes	220
CIENCIAS	RAFAEL GARESSE ALARCON	PTGAS	0
CIENCIAS	JUAN DAMIAN MORENO	Permanente	102
CIENCIAS	JUAN DAMIAN MORENO	No_Permanente	18
CIENCIAS	JUAN DAMIAN MORENO	PDIF	0
CIENCIAS	JUAN DAMIAN MORENO	Estudiantes	54
CIENCIAS	JUAN DAMIAN MORENO	PTGAS	0
