Center	Category	Censo	Votos
DERECHO	Permanente	163	124
DERECHO	No_Permanente	47	9
DERECHO	PDIF	0	0
DERECHO	Estudiantes	3693	136
DERECHO	PTGAS	0	0
ECONOMICAS	Permanente	179	123
ECONOMICAS	No_Permanente	109	27
ECONOMICAS	PDIF	0	0
ECONOMICAS	Estudiantes	3279	128
ECONOMICAS	PTGAS	0	0
EPS	Permanente	71	52
EPS	No_Permanente	61	18
EPS	PDIF	0	0
EPS	Estudiantes	1349	137
EPS	PTGAS	0	0
FILOSOFIA	Permanente	301	166
FILOSOFIA	No_Permanente	113	46
FILOSOFIA	PDIF	0	0
FILOSOFIA	Estudiantes	4921	207
FILOSOFIA	PTGAS	0	0
MEDICINA	Permanente	157	115
MEDICINA	No_Permanente	434	94
MEDICINA	PDIF	0	0
MEDICINA	Estudiantes	3272	401
MEDICINA	PTGAS	0	0
PROFESORADO	Permanente	91	62
PROFESORADO	No_Permanente	123	38
PROFESORADO	PDIF	0	0
PROFESORADO	Estudiantes	3137	68
PROFESORADO	PTGAS	0	0
PSICOLOGIA	Permanente	118	88
PSICOLOGIA	No_Permanente	47	18
PSICOLOGIA	PDIF	0	0
PSICOLOGIA	Estudiantes	1942	43
PSICOLOGIA	PTGAS	0	0
RECTORADO_PDIF	Permanente	0	0
RECTORADO_PDIF	No_Permanente	0	0
RECTORADO_PDIF	PDIF	614	209
RECTORADO_PDIF	Estudiantes	0	0
RECTORADO_PDIF	PTGAS	0	0
RECTORADO_PAS	Permanente	0	0
RECTORADO_PAS	No_Permanente	0	0
RECTORADO_PAS	PDIF	0	0
RECTORADO_PAS	Estudiantes	0	0
RECTORADO_PAS	PTGAS	1046	665
CIENCIAS	Permanente	531	358
CIENCIAS	No_Permanente	340	94
CIENCIAS	PDIF	0	0
CIENCIAS	Estudiantes	5376	301
CIENCIAS	PTGAS	0	0
