Center	Candidate	Category	Votos
DERECHO	RAFAEL GARESSE ALARCON	Permanente	28
DERECHO	RAFAEL GARESSE ALARCON	No_Permanente	1
DERECHO	RAFAEL GARESSE ALARCON	PDIF	0
DERECHO	RAFAEL GARESSE ALARCON	Estudiantes	49
DERECHO	RAFAEL GARESSE ALARCON	PTGAS	0
DERECHO	JUAN DAMIAN MORENO	Permanente	59
DERECHO	JUAN DAMIAN MORENO	No_Permanente	5
DERECHO	JUAN DAMIAN MORENO	PDIF	0
DERECHO	JUAN DAMIAN MORENO	Estudiantes	153
DERECHO	JUAN DAMIAN MORENO	PTGAS	0
DERECHO	FRANCISCO VELASCO CABALLERO	Permanente	41
DERECHO	FRANCISCO VELASCO CABALLERO	No_Permanente	10
DERECHO	FRANCISCO VELASCO CABALLERO	PDIF	0
DERECHO	FRANCISCO VELASCO CABALLERO	Estudiantes	140
DERECHO	FRANCISCO VELASCO CABALLERO	PTGAS	0
ECONOMICAS	RAFAEL GARESSE ALARCON	Permanente	20
ECONOMICAS	RAFAEL GARESSE ALARCON	No_Permanente	9
ECONOMICAS	RAFAEL GARESSE ALARCON	PDIF	0
ECONOMICAS	RAFAEL GARESSE ALARCON	Estudiantes	45
ECONOMICAS	RAFAEL GARESSE ALARCON	PTGAS	0
ECONOMICAS	JUAN DAMIAN MORENO	Permanente	59
ECONOMICAS	JUAN DAMIAN MORENO	No_Permanente	10
ECONOMICAS	JUAN DAMIAN MORENO	PDIF	0
ECONOMICAS	JUAN DAMIAN MORENO	Estudiantes	58
ECONOMICAS	JUAN DAMIAN MORENO	PTGAS	0
ECONOMICAS	FRANCISCO VELASCO CABALLERO	Permanente	48
ECONOMICAS	FRANCISCO VELASCO CABALLERO	No_Permanente	11
ECONOMICAS	FRANCISCO VELASCO CABALLERO	PDIF	0
ECONOMICAS	FRANCISCO VELASCO CABALLERO	Estudiantes	31
ECONOMICAS	FRANCISCO VELASCO CABALLERO	PTGAS	0
EPS	RAFAEL GARESSE ALARCON	Permanente	27
EPS	RAFAEL GARESSE ALARCON	No_Permanente	14
EPS	RAFAEL GARESSE ALARCON	PDIF	0
EPS	RAFAEL GARESSE ALARCON	Estudiantes	153
EPS	RAFAEL GARESSE ALARCON	PTGAS	0
EPS	JUAN DAMIAN MORENO	Permanente	7
EPS	JUAN DAMIAN MORENO	No_Permanente	1
EPS	JUAN DAMIAN MORENO	PDIF	0
EPS	JUAN DAMIAN MORENO	Estudiantes	71
EPS	JUAN DAMIAN MORENO	PTGAS	0
EPS	FRANCISCO VELASCO CABALLERO	Permanente	8
EPS	FRANCISCO VELASCO CABALLERO	No_Permanente	1
EPS	FRANCISCO VELASCO CABALLERO	PDIF	0
EPS	FRANCISCO VELASCO CABALLERO	Estudiantes	30
EPS	FRANCISCO VELASCO CABALLERO	PTGAS	0
FILOSOFIA	RAFAEL GARESSE ALARCON	Permanente	34
FILOSOFIA	RAFAEL GARESSE ALARCON	No_Permanente	9
FILOSOFIA	RAFAEL GARESSE ALARCON	PDIF	0
FILOSOFIA	RAFAEL GARESSE ALARCON	Estudiantes	51
FILOSOFIA	RAFAEL GARESSE ALARCON	PTGAS	0
FILOSOFIA	JUAN DAMIAN MORENO	Permanente	85
FILOSOFIA	JUAN DAMIAN MORENO	No_Permanente	25
FILOSOFIA	JUAN DAMIAN MORENO	PDIF	0
FILOSOFIA	JUAN DAMIAN MORENO	Estudiantes	74
FILOSOFIA	JUAN DAMIAN MORENO	PTGAS	0
FILOSOFIA	FRANCISCO VELASCO CABALLERO	Permanente	58
FILOSOFIA	FRANCISCO VELASCO CABALLERO	No_Permanente	8
FILOSOFIA	FRANCISCO VELASCO CABALLERO	PDIF	0
FILOSOFIA	FRANCISCO VELASCO CABALLERO	Estudiantes	52
FILOSOFIA	FRANCISCO VELASCO CABALLERO	PTGAS	0
MEDICINA	RAFAEL GARESSE ALARCON	Permanente	62
MEDICINA	RAFAEL GARESSE ALARCON	No_Permanente	56
MEDICINA	RAFAEL GARESSE ALARCON	PDIF	0
MEDICINA	RAFAEL GARESSE ALARCON	Estudiantes	336
MEDICINA	RAFAEL GARESSE ALARCON	PTGAS	0
MEDICINA	JUAN DAMIAN MORENO	Permanente	24
MEDICINA	JUAN DAMIAN MORENO	No_Permanente	20
MEDICINA	JUAN DAMIAN MORENO	PDIF	0
MEDICINA	JUAN DAMIAN MORENO	Estudiantes	95
MEDICINA	JUAN DAMIAN MORENO	PTGAS	0
MEDICINA	FRANCISCO VELASCO CABALLERO	Permanente	17
MEDICINA	FRANCISCO VELASCO CABALLERO	No_Permanente	13
MEDICINA	FRANCISCO VELASCO CABALLERO	PDIF	0
MEDICINA	FRANCISCO VELASCO CABALLERO	Estudiantes	55
MEDICINA	FRANCISCO VELASCO CABALLERO	PTGAS	0
PROFESORADO	RAFAEL GARESSE ALARCON	Permanente	22
PROFESORADO	RAFAEL GARESSE ALARCON	No_Permanente	14
PROFESORADO	RAFAEL GARESSE ALARCON	PDIF	0
PROFESORADO	RAFAEL GARESSE ALARCON	Estudiantes	28
PROFESORADO	RAFAEL GARESSE ALARCON	PTGAS	0
PROFESORADO	JUAN DAMIAN MORENO	Permanente	20
PROFESORADO	JUAN DAMIAN MORENO	No_Permanente	6
PROFESORADO	JUAN DAMIAN MORENO	PDIF	0
PROFESORADO	JUAN DAMIAN MORENO	Estudiantes	31
PROFESORADO	JUAN DAMIAN MORENO	PTGAS	0
PROFESORADO	FRANCISCO VELASCO CABALLERO	Permanente	16
PROFESORADO	FRANCISCO VELASCO CABALLERO	No_Permanente	18
PROFESORADO	FRANCISCO VELASCO CABALLERO	PDIF	0
PROFESORADO	FRANCISCO VELASCO CABALLERO	Estudiantes	84
PROFESORADO	FRANCISCO VELASCO CABALLERO	PTGAS	0
PSICOLOGIA	RAFAEL GARESSE ALARCON	Permanente	37
PSICOLOGIA	RAFAEL GARESSE ALARCON	No_Permanente	6
PSICOLOGIA	RAFAEL GARESSE ALARCON	PDIF	0
PSICOLOGIA	RAFAEL GARESSE ALARCON	Estudiantes	43
PSICOLOGIA	RAFAEL GARESSE ALARCON	PTGAS	0
PSICOLOGIA	JUAN DAMIAN MORENO	Permanente	17
PSICOLOGIA	JUAN DAMIAN MORENO	No_Permanente	5
PSICOLOGIA	JUAN DAMIAN MORENO	PDIF	0
PSICOLOGIA	JUAN DAMIAN MORENO	Estudiantes	8
PSICOLOGIA	JUAN DAMIAN MORENO	PTGAS	0
PSICOLOGIA	FRANCISCO VELASCO CABALLERO	Permanente	25
PSICOLOGIA	FRANCISCO VELASCO CABALLERO	No_Permanente	2
PSICOLOGIA	FRANCISCO VELASCO CABALLERO	PDIF	0
PSICOLOGIA	FRANCISCO VELASCO CABALLERO	Estudiantes	18
PSICOLOGIA	FRANCISCO VELASCO CABALLERO	PTGAS	0
RECTORADO_PDIF	RAFAEL GARESSE ALARCON	Permanente	0
RECTORADO_PDIF	RAFAEL GARESSE ALARCON	No_Permanente	0
RECTORADO_PDIF	RAFAEL GARESSE ALARCON	PDIF	101
RECTORADO_PDIF	RAFAEL GARESSE ALARCON	Estudiantes	0
RECTORADO_PDIF	RAFAEL GARESSE ALARCON	PTGAS	0
RECTORADO_PDIF	JUAN DAMIAN MORENO	Permanente	0
RECTORADO_PDIF	JUAN DAMIAN MORENO	No_Permanente	0
RECTORADO_PDIF	JUAN DAMIAN MORENO	PDIF	28
RECTORADO_PDIF	JUAN DAMIAN MORENO	Estudiantes	0
RECTORADO_PDIF	JUAN DAMIAN MORENO	PTGAS	0
RECTORADO_PDIF	FRANCISCO VELASCO CABALLERO	Permanente	0
RECTORADO_PDIF	FRANCISCO VELASCO CABALLERO	No_Permanente	0
RECTORADO_PDIF	FRANCISCO VELASCO CABALLERO	PDIF	63
RECTORADO_PDIF	FRANCISCO VELASCO CABALLERO	Estudiantes	0
RECTORADO_PDIF	FRANCISCO VELASCO CABALLERO	PTGAS	0
RECTORADO_PAS	RAFAEL GARESSE ALARCON	Permanente	0
RECTORADO_PAS	RAFAEL GARESSE ALARCON	No_Permanente	0
RECTORADO_PAS	RAFAEL GARESSE ALARCON	PDIF	0
RECTORADO_PAS	RAFAEL GARESSE ALARCON	Estudiantes	0
RECTORADO_PAS	RAFAEL GARESSE ALARCON	PTGAS	175
RECTORADO_PAS	JUAN DAMIAN MORENO	Permanente	0
RECTORADO_PAS	JUAN DAMIAN MORENO	No_Permanente	0
RECTORADO_PAS	JUAN DAMIAN MORENO	PDIF	0
RECTORADO_PAS	JUAN DAMIAN MORENO	Estudiantes	0
RECTORADO_PAS	JUAN DAMIAN MORENO	PTGAS	342
RECTORADO_PAS	FRANCISCO VELASCO CABALLERO	Permanente	0
RECTORADO_PAS	FRANCISCO VELASCO CABALLERO	No_Permanente	0
RECTORADO_PAS	FRANCISCO VELASCO CABALLERO	PDIF	0
RECTORADO_PAS	FRANCISCO VELASCO CABALLERO	Estudiantes	0
RECTORADO_PAS	FRANCISCO VELASCO CABALLERO	PTGAS	101
CIENCIAS	RAFAEL GARESSE ALARCON	Permanente	178
CIENCIAS	RAFAEL GARESSE ALARCON	No_Permanente	52
CIENCIAS	RAFAEL GARESSE ALARCON	PDIF	0
CIENCIAS	RAFAEL GARESSE ALARCON	Estudiantes	317
CIENCIAS	RAFAEL GARESSE ALARCON	PTGAS	0
CIENCIAS	JUAN DAMIAN MORENO	Permanente	59
CIENCIAS	JUAN DAMIAN MORENO	No_Permanente	8
CIENCIAS	JUAN DAMIAN MORENO	PDIF	0
CIENCIAS	JUAN DAMIAN MORENO	Estudiantes	41
CIENCIAS	JUAN DAMIAN MORENO	PTGAS	0
CIENCIAS	FRANCISCO VELASCO CABALLERO	Permanente	134
CIENCIAS	FRANCISCO VELASCO CABALLERO	No_Permanente	35
CIENCIAS	FRANCISCO VELASCO CABALLERO	PDIF	0
CIENCIAS	FRANCISCO VELASCO CABALLERO	Estudiantes	103
CIENCIAS	FRANCISCO VELASCO CABALLERO	PTGAS	0
