Center	Category	Censo	Votos
DERECHO	Permanente	149	116
DERECHO	No_Permanente	65	17
DERECHO	PDIF	0	0
DERECHO	Estudiantes	3624	207
DERECHO	PTGAS	0	0
ECONOMICAS	Permanente	175	124
ECONOMICAS	No_Permanente	122	33
ECONOMICAS	PDIF	0	0
ECONOMICAS	Estudiantes	3330	74
ECONOMICAS	PTGAS	0	0
EPS	Permanente	77	50
EPS	No_Permanente	61	16
EPS	PDIF	0	0
EPS	Estudiantes	1515	46
EPS	PTGAS	0	0
FILOSOFIA	Permanente	277	198
FILOSOFIA	No_Permanente	161	70
FILOSOFIA	PDIF	0	0
FILOSOFIA	Estudiantes	4697	225
FILOSOFIA	PTGAS	0	0
MEDICINA	Permanente	151	98
MEDICINA	No_Permanente	474	76
MEDICINA	PDIF	0	0
MEDICINA	Estudiantes	2852	134
MEDICINA	PTGAS	0	0
PROFESORADO	Permanente	89	51
PROFESORADO	No_Permanente	141	35
PROFESORADO	PDIF	0	0
PROFESORADO	Estudiantes	3131	29
PROFESORADO	PTGAS	0	0
PSICOLOGIA	Permanente	107	84
PSICOLOGIA	No_Permanente	85	26
PSICOLOGIA	PDIF	0	0
PSICOLOGIA	Estudiantes	1807	69
PSICOLOGIA	PTGAS	0	0
RECTORADO_PDIF	Permanente	0	0
RECTORADO_PDIF	No_Permanente	0	0
RECTORADO_PDIF	PDIF	496	133
RECTORADO_PDIF	Estudiantes	0	0
RECTORADO_PDIF	PTGAS	0	0
RECTORADO_PAS	Permanente	0	0
RECTORADO_PAS	No_Permanente	0	0
RECTORADO_PAS	PDIF	0	0
RECTORADO_PAS	Estudiantes	0	0
RECTORADO_PAS	PTGAS	1104	612
CIENCIAS	Permanente	497	341
CIENCIAS	No_Permanente	519	137
CIENCIAS	PDIF	0	0
CIENCIAS	Estudiantes	5780	252
CIENCIAS	PTGAS	0	0
